stock_code,auto_sector
009540,
013570,
107590,
071050,
180640,
900290,
330730,
452300,
900250,
138930,
267250,
000320,
000640,
000070,
015860,
440290,
086520,
900270,
175330,
229640,
086790,
000140,
293580,
060980,
034730,
024720,
054620,
023460,
900300,
072710,
084690,
003030,
000240,
289080,
307930,
027410,
036530,
138040,
029780,
041190,
900340,
034810,
012630,
096760,
105560,
000150,
007540,
192400,
004150,
309960,
100790,
042370,
027360,
000590,
078930,
383800,
139130,
316140,
044820,
363280,
900260,
078070,
900110,
900310,
003380,
023760,
