stock_code,sector
177830,전자부품 제조업
047310,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
065690,고무제품 제조업
064800,"섬유, 의복, 신발 및 가죽제품 소매업"
290720,무점포 소매업
321260,반도체 제조업
460940,의료용 기기 제조업
031980,특수 목적용 기계 제조업
043370,자동차 신품 부품 제조업
450330,의료용품 및 기타 의약 관련제품 제조업
052600,전기 통신업
070590,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
127980,전자부품 제조업
205470,의료용품 및 기타 의약 관련제품 제조업
243070,의약품 제조업
138930,기타산업군
097950,기타 식품 제조업
004840,고무제품 제조업
089470,기타 화학제품 제조업
267250,기타산업군
267270,일반 목적용 기계 제조업
042670,특수 목적용 기계 제조업
108320,반도체 제조업
456040,기초 화학물질 제조업
001340,기초 화학물질 제조업
003570,자동차 신품 부품 제조업
100840,일반 목적용 기계 제조업
002820,나무제품 제조업
012320,지주회사
000050,종합 소매업
214390,기초 의약물질 제조업
002240,1차 철강 제조업
030610,금융 지원 서비스업
014280,1차 철강 제조업
002990,건물 건설업
008350,1차 비철금속 제조업
090350,기타 화학제품 제조업
000320,기타산업군
058730,"구조용 금속제품, 탱크 및 증기발생기 제조업"
030210,금융 지원 서비스업
023590,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
001680,기타 식품 제조업
003090,의약품 제조업
069620,의약품 제조업
000430,자동차 신품 부품 제조업
015230,자동차 신품 부품 제조업
460850,1차 철강 제조업
001230,철강
005960,토목 건설업
000640,기타산업군
082640,보험업
006040,식품/해양가공
014820,플라스틱제품 제조업
163560,고무제품 제조업
001530,상품 중개업
210540,특수 목적용 기계 제조업
089860,운송장비 임대업
023530,종합 소매업
004990,지주회사
001080,1차 철강 제조업
006800,금융 지원 서비스업
026940,1차 철강 제조업
008040,"곡물가공품, 전분 및 전분제품 제조업"
062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
006660,자동차 신품 부품 제조업
010140,선박 및 보트 건조업
