stock_code,rcept_dt,sector,per_share_common,yield_common,total_amount,div_amount_rank,month,is_year_end
265560,2024-02-08,자동차 신품 부품 제조업,80.0,0.77,855214400.0,0.24642392717815345,2,0
265560,2022-02-04,자동차 신품 부품 제조업,50.0,0.28,534509000.0,0.12944523470839261,2,0
265560,2021-02-10,자동차 신품 부품 제조업,50.0,0.2,267254500.0,0.15503875968992248,2,0
265560,2020-02-12,자동차 신품 부품 제조업,50.0,0.5,253439300.0,0.1681159420289855,2,0
265560,2018-03-07,자동차 신품 부품 제조업,100.0,0.6,534509000.0,0.4282700421940928,3,0
265560,2019-02-13,자동차 신품 부품 제조업,100.0,0.9,510180300.0,0.3763440860215054,2,0
900270,2018-04-24,기타 금융업,30.58,1.4,721360733.0,0.2,4,0
900270,2018-03-19,기타 금융업,30.28,1.39,714168709.0,0.15611814345991562,3,0
900270,2017-05-16,기타 금융업,52.0,1.76,1040000000.0,0.25,5,0
900270,2017-03-13,기타 금융업,54.89,1.85,4391575669.0,0.25316455696202533,3,0
78150,2025-02-14,,20.0,1.02,1777092360.0,0.03020961775585697,2,0
78150,2024-02-16,,20.0,0.8,1777092360.0,0.026657997399219768,2,0
78150,2023-02-17,,20.0,1.0,1503062560.0,0.028314917127071824,2,0
78150,2022-02-22,,20.0,0.76,1523216680.0,0.02702702702702703,2,0
78150,2021-02-23,,20.0,0.9,1523216680.0,0.03333333333333333,2,0
78150,2019-02-08,,20.0,0.7,1538589020.0,0.04377880184331797,2,0
78150,2020-02-24,,20.0,0.7,1538589020.0,0.03840579710144928,2,0
78150,2018-02-02,,40.0,1.18,3104710400.0,0.1085972850678733,2,0
78150,2017-02-03,,30.0,0.59,2273573220.0,0.08427876823338736,2,0
10400,2022-03-04,,100.0,1.42,266434900.0,0.3273809523809524,3,0
10400,2020-03-06,,250.0,3.0,1871750000.0,0.658102766798419,3,0
10400,2021-03-02,,250.0,3.0,666087250.0,0.6237623762376238,3,0
11500,2025-03-04,,60.0,0.4,917641200.0,0.21052631578947367,3,0
10400,2019-02-11,,400.0,3.89,3048800000.0,0.7419354838709677,2,0
11500,2024-02-28,,120.0,0.7,1835282400.0,0.3862158647594278,2,0
11500,2023-02-24,,120.0,1.13,1835282400.0,0.3653314917127072,2,0
11500,2022-03-03,,230.0,1.45,3517624600.0,0.6011904761904762,3,0
11500,2021-03-04,,180.0,2.07,2752923600.0,0.5363036303630363,3,0
11500,2020-02-25,,150.0,3.43,2294103000.0,0.4927536231884058,2,0
11500,2019-02-22,,120.0,2.9,1835282400.0,0.45698924731182794,2,0
11500,2018-03-05,,140.0,3.4,2141162800.0,0.5316455696202531,3,0
11500,2017-03-03,,110.0,1.78,1682342200.0,0.46624472573839665,3,0
11500,2014-02-24,,80.0,2.06,1223521600.0,0.32833020637898686,2,0
11500,2016-02-22,,100.0,2.7,1529402000.0,0.3788135593220339,2,0
11500,2015-02-25,,90.0,2.44,1376461800.0,0.34205607476635513,2,0
11500,2013-02-19,,90.0,2.81,1376461800.0,0.354014598540146,2,0
4830,2025-02-18,,100.0,1.5,1536304000.0,0.26695437731196053,2,0
4830,2022-02-18,,45.0,0.3,735139200.0,0.0945945945945946,2,0
4830,2024-02-16,,45.0,0.6,689650950.0,0.10078023407022106,2,0
4830,2023-02-16,,45.0,0.9,709869540.0,0.09046961325966851,2,0
4830,2020-02-21,,20.0,0.7,316588580.0,0.03840579710144928,2,0
4830,2021-02-19,,45.0,0.6,703624305.0,0.11162790697674418,2,0
4830,2019-02-22,,20.0,0.6,316588580.0,0.04377880184331797,2,0
4830,2018-02-27,,20.0,0.6,316588580.0,0.04147812971342383,2,0
4830,2017-02-07,,45.0,0.7,703624305.0,0.13209076175040518,2,0
4830,2015-02-05,,45.0,1.9,703624305.0,0.12990654205607477,2,0
4830,2016-02-12,,20.0,0.3,316588580.0,0.017796610169491526,2,0
4830,2014-02-26,,45.0,1.6,703624305.0,0.11913696060037524,2,0
4830,2013-02-21,,45.0,1.52,703624305.0,0.13686131386861314,2,0
89980,2025-02-21,,200.0,1.05,3118108600.0,0.48581997533908755,2,0
89980,2024-02-07,,200.0,0.97,3118108600.0,0.5279583875162549,2,0
89980,2023-02-06,,200.0,0.72,3118108600.0,0.5082872928176796,2,0
89980,2022-02-07,,200.0,0.4,3118108600.0,0.5227596017069701,2,0
89980,2022-04-07,,200.0,0.4,3118108600.0,0.6505681818181818,4,0
89980,2021-02-08,,160.0,0.3,2431180800.0,0.5131782945736434,2,0
89980,2020-02-07,,160.0,1.1,2429133280.0,0.527536231884058,2,0
89980,2017-02-09,,140.0,1.67,1844024560.0,0.4829821717990275,2,0
89980,2015-02-13,,107.0,1.8,1314539298.0,0.4542056074766355,2,0
89980,2016-02-11,,140.0,1.15,1782504220.0,0.49745762711864405,2,0
89980,2018-02-12,,140.0,1.1,1978711140.0,0.46078431372549017,2,0
89980,2019-01-30,,160.0,1.2,2261384160.0,0.33955223880597013,1,0
89980,2013-12-27,,115.0,1.63,1384539050.0,0.6754385964912281,12,1
89980,2013-12-18,,115.0,1.67,1384539050.0,0.6754385964912281,12,1
75580,2025-03-11,,200.0,2.4,11369891200.0,0.5479876160990712,3,0
75580,2024-03-13,,200.0,4.4,10979554800.0,0.5830618892508144,3,0
75580,2023-03-15,,150.0,2.78,8234666100.0,0.5030120481927711,3,0
75580,2022-03-16,,150.0,2.6,8223116100.0,0.49107142857142855,3,0
75580,2020-12-23,,150.0,1.5,8314091100.0,0.5049019607843137,12,1
75580,2021-01-04,,150.0,2.3,8328116100.0,0.2635135135135135,1,0
75580,2020-03-06,,20.0,0.4,767454400.0,0.07114624505928854,3,0
75580,2019-03-08,,20.0,0.5,767454400.0,0.07051282051282051,3,0
75580,2018-03-02,,30.0,1.1,1151181600.0,0.1371308016877637,3,0
75580,2017-02-17,,100.0,3.2,3832272000.0,0.3857374392220421,2,0
38070,2025-02-20,,100.0,1.4,843598400.0,0.26695437731196053,2,0
75580,2016-02-15,,100.0,3.2,3829272000.0,0.3788135593220339,2,0
38070,2024-03-13,,100.0,1.0,836162400.0,0.3469055374592834,3,0
